attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
bim,True,,,500,0.1,0.1,,,,,,,,,,bim0.10.1_succ,,cifar,conv12,100,85,85,1.0,0.2641662240028381,4.466675494698917,202.6451900706572,0.1000000238418579,0.0064982580688647,0.974803607825909,9405.055331362684,0.1660679345504147,0.4904834576109889,0.9699601277317272,1354.1234453405348,21.74758635048311,0.6588235294117647,0.9647058823529412
bim,True,,,500,0.1,0.3,,,,,,,,,,bim0.10.3_succ,,cifar,conv12,100,85,77,0.9058823529411764,0.0421977734565734,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077
bim,True,,,500,0.1,0.5,,,,,,,,,,bim0.10.5_succ,,cifar,conv12,100,85,77,0.9058823529411764,0.0418735003471374,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077
bim,True,,,500,0.1,0.7,,,,,,,,,,bim0.10.7_succ,,cifar,conv12,100,85,77,0.9058823529411764,0.0418523383140563,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077
bim,True,,,500,0.1,0.9,,,,,,,,,,bim0.10.9_succ,,cifar,conv12,100,85,77,0.9058823529411764,0.0417107558250427,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077
bim,True,,,500,0.1,0.01,,,,,,,,,,bim0.10.01_succ,,cifar,conv12,100,85,85,1.0,0.0417385792732238,4.06803362790276,200.35981247845817,0.1000000238418579,0.0053967283886124,0.9789792357042412,8454.979063673285,0.151458101189635,0.5348896337015523,0.9844267990791572,1217.0191555443084,22.46556763228622,1.0,1.0
bim,True,,,500,0.1,0.03,,,,,,,,,,bim0.10.03_succ,,cifar,conv12,100,85,85,1.0,0.0416812181472778,4.181634305505192,209.71769283519072,0.1000000238418579,0.0056979890285481,0.97767214639624,8753.793902787977,0.1557394202106796,0.5098790488060638,0.9617998925974536,1260.0631090824618,22.215652995255216,1.0,1.0
bim,True,,,500,0.1,0.05,,,,,,,,,,bim0.10.05_succ,,cifar,conv12,100,85,85,1.0,0.0415964698791503,4.17098450941198,203.38486256318933,0.1000000238418579,0.005667190201221,0.9777765334144004,8732.699550786212,0.1554243396894575,0.5073645882451585,0.9577780278884016,1257.17756151304,22.303012775760216,1.0,1.0
bim,True,,,500,0.1,0.07,,,,,,,,,,bim0.10.07_succ,,cifar,conv12,100,85,85,1.0,0.0415909647941589,4.21891248366412,208.9842981675092,0.1000000238418579,0.0057974197583657,0.9773312733400628,8843.349933326066,0.1571749251392122,0.5075343501103626,0.9630037557341375,1272.9660662999663,22.213294568527377,0.9764705882352941,1.0
bim,True,,,500,0.1,0.09,,,,,,,,,,bim0.10.09_succ,,cifar,conv12,100,85,85,1.0,0.0416630053520202,4.332732242696426,204.4874439912684,0.1000000238418579,0.0061139950385827,0.9760911974096944,9105.895569866912,0.1613433910159584,0.5010021608074305,0.97145843953908,1311.3090875279197,21.990291029998595,0.8235294117647058,1.0
bim,True,,,500,0.1,1.0,,,,,,,,,,bim0.10.001_succ,,cifar,conv12,100,85,85,1.0,0.041932406425476,2.288131896187277,102.37274071188534,0.0999762389589758,0.0017243607192693,0.9927681252369414,4705.216139158321,0.0857701099048577,0.7238732507036403,0.9935171779239456,677.12591254385,27.04050838225963,1.0,1.0
bim,True,,,500,0.1,3.0,,,,,,,,,,bim0.10.003_succ,,cifar,conv12,100,85,85,1.0,0.043361496925354,3.4459715141969567,160.44500624712776,0.1000000238418579,0.0038951678349024,0.984778466475613,7053.797482923989,0.1287180693426445,0.6030193738079114,0.996465259425988,1015.3808045041436,23.8176654154914,1.0,1.0
bim,True,,,500,0.1,5.0,,,,,,,,,,bim0.10.005_succ,,cifar,conv12,100,85,85,1.0,0.0482168197631835,3.768296763476204,180.1394915412454,0.1000000238418579,0.0046413337363343,0.981930949032016,7770.0125911484865,0.140558510441013,0.5684507272337129,0.9916462578338162,1118.367075722064,23.04275809756401,1.0,1.0
bim,True,,,500,0.1,7.0,,,,,,,,,,bim0.10.007_succ,,cifar,conv12,100,85,85,1.0,0.0482297992706298,3.9338169294245104,190.962939453125,0.1000000238418579,0.0050514695035978,0.9804169740399616,8135.630160024122,0.1465926040537429,0.5500970644099779,0.9861852481416824,1171.0478236272197,22.693165052615008,1.0,1.0
bim,True,,,500,0.1,9.0,,,,,,,,,,bim0.10.009_succ,,cifar,conv12,100,85,85,1.0,0.0482332944869995,4.030549228892607,197.6609655043658,0.1000000238418579,0.0052984863402139,0.9793509600185792,8372.891562182902,0.1500888085056584,0.5392779063350743,0.9860021868558178,1205.1838176668205,22.504089533263947,1.0,1.0
bim,True,,,500,0.1,0.1,,,,,,,,,,bim0.10.1_succ,,cifar,conv12,100,85,85,1.0,0.0484205412864685,4.466675494698917,202.6451900706572,0.1000000238418579,0.0064982580688647,0.974803607825909,9405.055331362684,0.1660679345504147,0.4904834576109889,0.9699601277317272,1354.1234453405348,21.74758635048311,0.6588235294117647,0.9647058823529412
bim,True,,,500,0.01,0.1,,,,,,,,,,bim0.010.1_succ,,cifar,conv12,100,85,68,0.8,0.0486112213134765,0.5511442650766933,30.42235281888176,0.0100000202655792,9.8925917792375e-05,0.9994034762442406,1171.6393526244628,0.0207552298847765,0.9226838952499364,0.9984956488247776,168.71442385884208,38.06179605102211,0.3382352941176471,0.5
bim,True,,,500,0.03,0.1,,,,,,,,,,bim0.030.1_succ,,cifar,conv12,100,85,81,0.9529411764705882,0.048704981803894,1.6463297428908172,90.66165382479444,0.0300000011920928,0.0008828831350507,0.9958817145959752,3437.327035402001,0.0609651238607941,0.7642391305284583,0.995668415437736,494.9528864111183,29.6448492226442,0.5061728395061729,0.5679012345679012
bim,True,,,500,0.05,0.1,,,,,,,,,,bim0.050.1_succ,,cifar,conv12,100,85,78,0.9176470588235294,0.0486846089363098,2.731378029554318,150.09771748078174,0.0500000119209289,0.0024306521423227,0.9901714670938012,5578.209916190851,0.0985962947864255,0.6357513023987961,0.9916672622528708,803.4238727391537,25.704441541330013,0.32051282051282054,0.38461538461538464
bim,True,,,500,0.07,0.1,,,,,,,,,,bim0.070.1_succ,,cifar,conv12,100,85,85,1.0,0.0486312413215637,3.301992239671595,172.84114487591913,0.070000022649765,0.0035507527594976,0.9851214944217968,6966.468811707159,0.123692814876424,0.5828548495638494,0.9862638180219364,1003.1263028154552,24.215173269053967,0.47058823529411764,0.6941176470588235
bim,True,,,500,0.09,0.1,,,,,,,,,,bim0.090.1_succ,,cifar,conv12,100,85,85,1.0,0.0486898159980773,4.048407467673806,192.90345620548024,0.090000033378601,0.00533824256768,0.9787623572719276,8515.162768894264,0.1510745829526677,0.5211428097132751,0.9739378584711892,1226.0100472519396,22.49997359873104,0.5529411764705883,0.9294117647058824
bim,True,,,500,1.0,0.1,,,,,,,,,,bim0.0010.1_succ,,cifar,conv12,100,85,11,0.1294117647058823,0.048615186214447,0.0553658343851566,3.0654212778264824,0.0010000020265579,9.978476582660557e-07,0.9999969938616448,99.03071718450852,0.0018379675397841,0.999182211379535,0.9997852527630824,14.281535602031692,54.464937800620106,0.0,0.0
bim,True,,,500,3.0,0.1,,,,,,,,,,bim0.0030.1_succ,,cifar,conv12,100,85,34,0.4,0.048313934803009,0.1659164428710937,9.176843755385455,0.0030000209808349,8.961781210425086e-06,0.9999053516163724,394.8649335934496,0.0067404470474151,0.9845334767913492,0.9995469302303178,56.868350745370925,47.338189321139865,0.11764705882352941,0.20588235294117646
