attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,file_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate,
bim,True,,,500,0.1,0.1,,,,,,,,,bim0.10.1_succ_succ,100,85,85,1.0,0.2641662240028381,4.466675494698917,202.6451900706572,0.1000000238418579,0.0064982580688647,0.974803607825909,9405.055331362684,0.1660679345504147,0.4904834576109889,0.9699601277317272,1354.1234453405348,21.74758635048311,0.6588235294117647,0.9647058823529412,
bim,False,,,500,0.1,0.1,,,,,,,,,bim0.10.1_succ_miss,100,85,85,1.0,0.2641662240028381,4.466675494698917,202.6451900706572,0.1000000238418579,0.0064982580688647,0.974803607825909,9405.055331362684,0.1660679345504147,0.4904834576109889,0.9699601277317272,1354.1234453405348,21.74758635048311,0.6588235294117647,0.9647058823529412,
bim,True,,,500,0.1,0.3,,,,,,,,,bim0.10.3_succ_succ,100,85,77,0.9058823529411764,0.0421977734565734,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,False,,,500,0.1,0.3,,,,,,,,,bim0.10.3_succ_miss,100,85,77,0.9058823529411764,0.0421977734565734,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,True,,,500,0.1,0.5,,,,,,,,,bim0.10.5_succ_succ,100,85,77,0.9058823529411764,0.0418735003471374,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,False,,,500,0.1,0.5,,,,,,,,,bim0.10.5_succ_miss,100,85,77,0.9058823529411764,0.0418735003471374,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,True,,,500,0.1,0.7,,,,,,,,,bim0.10.7_succ_succ,100,85,77,0.9058823529411764,0.0418523383140563,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,False,,,500,0.1,0.7,,,,,,,,,bim0.10.7_succ_miss,100,85,77,0.9058823529411764,0.0418523383140563,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,True,,,500,0.1,0.9,,,,,,,,,bim0.10.9_succ_succ,100,85,77,0.9058823529411764,0.0417107558250427,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,False,,,500,0.1,0.9,,,,,,,,,bim0.10.9_succ_miss,100,85,77,0.9058823529411764,0.0417107558250427,5.408890569364869,296.00925752714085,0.1000000238418579,0.0095380288622132,0.968112755850216,10849.18139553887,0.1924048880500945,0.4264625483599632,0.9620121774829418,1563.076775717515,20.12091521866545,0.16883116883116883,0.22077922077922077,
bim,True,,,500,0.1,0.01,,,,,,,,,bim0.10.01_succ_succ,100,85,85,1.0,0.0417385792732238,4.06803362790276,200.35981247845817,0.1000000238418579,0.0053967283886124,0.9789792357042412,8454.979063673285,0.151458101189635,0.5348896337015523,0.9844267990791572,1217.0191555443084,22.46556763228622,1.0,1.0,
bim,False,,,500,0.1,0.01,,,,,,,,,bim0.10.01_succ_miss,100,85,85,1.0,0.0417385792732238,4.06803362790276,200.35981247845817,0.1000000238418579,0.0053967283886124,0.9789792357042412,8454.979063673285,0.151458101189635,0.5348896337015523,0.9844267990791572,1217.0191555443084,22.46556763228622,1.0,1.0,
